Gdzie znajdę najbliższy bankomat? ,Where is the nearest ATM?,Wo ist der nächste Geldautomat?,Где ближайший банкомат?,Де найближчий банкомат?,En yakın ATM nerede?
"Czy znasz jakiś bankomat, który nie pobiera dużej prowizji?",Do you know any ATM that does not charge a large commission?,"Kennen Sie einen Geldautomaten, der keine große Provision (Gebühr) erhebt? ","Ты знаешь какой-нибудь банкомат, в котором нет большой комиссии?","Чи знаєш банкомат, що не стягує велику комісію? ",Yüksek komisyon kesmeyen bir ATM biliyor musunuz?
Konto ,Account,das Konto,Счёт,Рахунок,Hesap
Przelew bankowy,Bank transfer,die Banküberweisung,Банковский перевод,Банковський переказ,Banka transferi
Sklep ,Shop,das Geschäft,Магазин,Крамниця,Dükkan
Supermarket,Supermarket,der Supermarkt,Супермаркет,Супермаркет,Süpermarket
Kasa ,Counter / cash desk,die Kasse ,Касса,Каса,Kasa
Ile to kosztuje? ,How much does it cost? ,Wie viel kostet das?  (Was kostet das?),Сколько это стоит?,Скільки це коштує?,Bu ne kadar?
Czy mogę prosić torbę/ reklamówkę? ,"Can I have a bag, please?",Kann ich eine Plastiktüte haben?,"Можно, пожалуйста, кулек?","Можна, будь ласка, пакет?",Poşet alabilir miyim lütfen?
Reszta,Change,Restgeld / Rückgeld / Wechselgeld,Сдача,Решта,Para üstü/bozukluk
,,,,,
RESTAURACJA,RESTAURANT,RESTAURANT,РЕСТОРАН,РЕСТОРАН,RESTORAN
Karta dań,Menu,das Menü,Меню,Меню,Menü
Czy mogłabym poprosić o kartę dań?,"Could I ask for a menu, please?",Könnte ich bitte die Speisekarte haben?,"Можно меню, пожалуйста","Чи можна меню,будь ласка","Menüyü alabilir miyim, lütfen?"
Danie,Dish,"das Gericht, die Speise",Блюдо,Страва,Yemek
Deser,Dessert,der Dessert,Десерт,Десерт,Tatlı
Napoje,Beverages / Drinks,die Getränke,Напитки,Напої,İçecek/Meşrubat
Napoje alkoholowe,Alcoholic beverages/ drinks,Alkoholische Getränke,Выпивка,Випивка,Alkollü içecek
Woda gazowana,Sparkling water,das Sprudelwasser / Mineralwasser mit Kohlensäure,Газированная вода,Газована вода,Maden Suyu/Soda
Woda niegazowana,Still water,stilles Wasser / Mineralwasser ohne Kohlensäure,Негазированная вода,Негазована вода,Normal Su
Gotówka,Cash,das Bargeld,Наличка,Готівка,Nakit
Czy mogę zapłacić gotówką? ,Can I pay in cash?,Kann ich bar bezahlen?,Могу ли я заплатить наличкой?,Чи можу я заплатити готівкою?,Nakit ödeyebilir miyim?
Karta kredytowa,Credit card,die Kreditkarte,Кредитная карта,Кредитна картка,Kredi kartı
Czy mogę zapłacić kartą? ,Can I pay with credit card? ,Kann ich mit Kreditkarte bezahlen?,Могу ли я заплатить кредитной картой?,Чи можу я заплатити кредитною картою?,Kredi kartıyla ödeyebilir miyim?
Płatność kartą/ gotówką,Payment by credit card/ in cash ,die Kreditkartenzahlung / die Barzahlung,Оплата картой/наличкой,Оплата карткою/готівкою,Kredi kartıyla/nakitle ödeme
Czy w restauracjach zostawia się napiwki? ,Do you leave tips in restaurants? ,Gibt man Trinkgeld im Restaurant?,В ресторанах оставляют чаевые?,У ресторані залишають чайові?,Restoranda bahşiş bırakır mısınız?
Napiwek,Tip,das Trinkgeld,Чаевые,Чайові,Bahşiş
Na wynos.,Take away. ,zum Mitnehmen.,С собой,Із собою,Paket (dışarıda yemek)
,,,,,
TRANSPORT/BUDYNKI,TRANSPORT/BUILDINGS,TRANSPORT/GEBÄUDE,ТРАНСПОРТ/ЗДАНИЯ,ТРАНСПОРТ/БУДИНКИ,ULAŞIM/YER ADLARI
Apteka ,Pharmacy / Chemist's,die Apotheke,Аптека,Аптека,Eczane
Autobus ,Bus,der Bus,Автобус,Автобус,Otobüs
Basen ,Swimming pool,das Schwimmbad,Бассейн,Басейн,Yüzme havuzu
Bilet w dwie strony ,Return ticket ,die Rückfahrkarte,Билет в оба конца,Квиток в обидві сторони,Dönüş bileti
Bilet w jedną stronę ,One-way ticket,der Einzelfahrschein,Билет в один конец,Квиток в одну сторону,Tek yön bilet
Centrum handlowe ,Shopping center / shopping mall,das Einkaufszentrum,Торговый центр,Торговий центр,Alışveriş Merkezi
Dworzec autobusowy ,Bus station ,der Busbahnhof,Автостанция,Автостанція,Otogar
Dworzec kolejowy ,Railway station,der Bahnhof,Железнодорожный вокзал,Залізничний вокзал,Tren istasyonu
Gdzie mogę znaleźć rozkład jazdy autobusów? ,Where can I find a bus schedule / timetable? ,Wo kann ich einen Busfahrplan finden?,Где можно найти расписание автобусов?,Де я можу знайти розклад автобусів?,Otobüs saatlerini nereden öğrenebilirim?
Gdzie znajduje się centrum handlowe Jantar? ,"Where is the shopping center ""Jantar""?","Wo ist das Einkaufszentrum ""Jantar""?","Где находится торговый центр ""Янтар""?","Де розташований торговий центр ""Янтар""?","""Jantar"" AVMsi nerede?"
Gdzie znajduje się poczta? ,Where is the post office?,Wo ist die Post?,Где находится почта?,Де знаходиться поштове відділення?,Postane nerede?
Jak dojechać do...?,How can I get to...?,Wie komme ich zu (nach) ...?,Как добраться до...?,Як дістатися до...?,... nasıl gidebilirim?
Jak dojadę do Sopotu? ,How can I get to Sopot? ,Wie komme ich nach Sopot? ,Как добраться до Сопота?,Як дістатися до Сопоту?,Sopot'a nasıl giderim?
Jak dojadę na dworzec z akademika? ,How do I get from the dormitory to the station? ,Wie komme ich vom Studentenheim zum Bahnhof?,Как добраться из общежития на вокзал?,Як дістатия з гуртожитку до залізниці?,Yurttan istasyona nasıl giderim?
Jak dojadę z akademika do centrum handlowego Jantar? ,"How do I get from the dormitory to the shopping center ""Jantar""?","Wie komme ich vom Studentenheim zum Einkaufszentrum ""Jantar""?","Как доехать от общежития до торгового центра ""Янтар""?","Як доїхати з гуртожитку до торгового центру ""Янтар""?","Yurttan ""Jantar"" AVM'ye nasıl giderim?"
Jak dojadę ze Słupska na lotnisko w Gdańsku? ,How can I get from Słupsk to Gdańsk airport? ,Wie komme ich von Słupsk zum Flughafen in Gdańsk?,Как добраться из Слупска в аэропорт в Гданске?,Як дістатися зі Слупська до аеропорта в Гданську?,Slupsktan Gdansk havaalanına nasıl giderim?
Na jakiej ulicy znajduje się ...? ,What street is ......... on? ,In welcher Straße befindet sich ...?,На какой улице находится...?,На якій вулиці знаходиться...?,... hangi sokakta?
Peron,Platform,der Bahnsteig,Перон,Перон,Peron
Pociąg,Train,der Zug,Поезд,Поїзд,Tren
Poczta ,Post office ,die Post,Почта,Пошта,Postane
Poproszę bilet studencki do....,"Student ticket to..., please. ","das Studententicket nach ..., bitte.","Мне, пожалуйста, билет со студенческой скидкой в...","Мені, будь ласка, квиток зі студентською знижкою до...","... öğrenci bileti, lütfen."
Bilet ulgowy,Reduced(-fare) ticket ,Ermäßigte Fahrkarte,Льготний билет,Пільговий квиток,İndirimli bilet-tarife
Przystanek autobusowy ,Bus stop,die Bushaltestelle,Автобусная остановка,Автобусна зупинка,Otobüs durağı
Rozkład jazdy ,Timetable/ Schedule,der Fahrplan,Расписание автобусов/поездов,Розклад автобусів/поїздів,Çizelge / Takvim
Szpital ,Hospital,das Krankenhaus,Больница,Лікарня,Hastane
Przychodnia / poradnia,Out-patient's clinic,die Poliklinik (das Ärztehaus),Поликлиника,Поліклініка,Günübirlik hasta kliniği
Pogotowie ratunkowe,"Emergency centre, Emergnecy medical services (EMS)",der Rettungsdienst,"Аварийный центр, скорая медицинская помощь","Аварійний центр, швидка медична допомога",Acil Müdahale Merkezi
Komisariat policji,Police station,die Polizeidienststelle ,Полицейский участок,Відділок поліції,Polis Karakolu
Informacja turystyczna,Tourist Information (Centre),das Touristeninformationszentrum,Туристический центр,Туристичний центр,Turist Danışma Bürosu (Merkezi)
,,,,,
UNIWERSYTET ,UNIVERSITY,UNIVERSITÄT,УНИВЕРСИТЕТ,УНІВЕРСИТЕТ,ÜNİVERSİTE
Absolwent / Absolwentka,Alumnus (male)/ Alumna (female),der Universitätsabsolvent / die Universitätsabsolventin ,Выпускник / Выпускница,Випускник,Mezun
Administracja,Administration,die Verwaltung,Администрация,Адміністрація,İdari destek
Akademik ,Dormitory,das Studentenheim (Studentenwohnheim) ,Общежитие,Гуртожиток,Yurt
Pokój,Room,das Zimmer ,Комната,Кімната,Oda
Asystent naukowy,Research assistant,Wissenschaftlicher Assistent (Mitarbeiter),Аспирант,Науковий співробітник,Araştırma Görevlisi
Aula,Lecture room,die Aula,Аудитория,Аудиторія,Amfi
Biblioteka,Library,die Bibliothek,Библиотека,Бібліотека,Kütüphane
Biuro Obsługi Studenta,Student services office,Studierenden-Service-Zentrum,Бюро Обслуживания Студентов,Бюро Обслуговування Студентів,Öğrenci İşleri Ofisi
Czesne,Tuition fee,die Studiengebühr ,Оплата за обучение,Плата за навчання,Öğrenim ücreti
Ćwiczenia,Exercises / Laboratory classes,die Übungsstunde,Упражнения,Вправи,Egzersizler / Laboratuvar Dersleri
Doktor (stopień naukowy),doctor/ PhD,der Doktor,Кандидат наук,Кандидат наук,Doktor / Dr.
Doktorant,Doctoral student / PhD student ,der Doktorand,Докторант,Докторант,Doktora öğrencisi
Dokument,Document,das Dokument,Документ,Документ,Belge
Złożyć dokumenty...,Submit documents...,die Dokumente einreichen...,Подать документы,Надати документи,Belgeleri .....'a/e iletin
"Dzień dziekański, rektorski",Dean's day/ day-off,"Vorlesungsfreie Zeit, die vom Dekan oder vom Rektor an einer Hochschule, bzw. Universität verordnet wird",День без занятий по решению декана,День без занятть за рішенням декану,Dekan günü / tatil
Godziny rektorskie,Rector's hours (when no classes take place),"Vorlesungsfreie Stunden, die vom Dekan oder vom Rektor an einer Hochschule, bzw. Universität verordnet wird",Ректорский час,Ректорська година,Rektör Saatleri (derslerin olmadığı zamanlar)
Dzień wolny od zajęć,No-class day,"unterrichtsfreie Zeit, unterrichtsfrei",Выходной,Вихідний,Derssiz gün
Egzamin,Exam,die Prüfung,Экзамен,Екзамен,Sınav
Egzamin ustny,Oral exam,die mündliche Prüfung,Устный экзамен,Усний іспит,Sözlü sınav
Egzamin pisemny,Written Exam,die schriftliche Prüfung,Письменный экзамен,Писемний іспит,Yazılı sınav
Egzamin licencjacki / Obrona pracy licencjackiej,BA/ BSc Exam,Verteidigung der Bachelorarbeit,Экзамен бакалавров/Защита бакалаврской работы,Іспит з бакалавріату / Захист бакалаврської роботи,Lisans sınavı
Egzamin magisterski / Obrona pracy magisterskiej,MA Exam,Verteidigung der Masterarbeit,Экзамен магистров/Защиты магистерской работы,Іспит з магістратури / Захист магістерської роботи,Yüksek Lisans sınavı
Egzamin doktorski,Doctoral Exam ,Doktorarbeit (Dissertation),Экзамен по докторской степени,Іспит з докторського ступеня,Doktora sınavı
Obrona pracy doktorskiej,Doctoral defence,Verteidigung der Doktorarbeit (Dissertation) ,Защита докторской работы,Захист докторської роботи,Doktora tezi savunması
ELS (Elektroniczna Legitymacja Studencka),Electronic Student ID card,Elektronischer Studentenausweis,Электронный студенческий,Електронний студентський,Elektronik Öğrenci Kartı
Ferie,Winter break/ spring break,die Ferien,Каникулы,Канікули,Dönem / Sömestr
Gdzie mogę skserować materiały na zajęcia?,Where can I photocopy the materials for classes? ,Wo kann ich Unterrichtsmaterialien kopieren?,Где я могу отксерить материалы на пару?,Де я можу відксерити матеріали до пари?,Ders materyallerinin fotokopilerini nereden alabilirim?
Gdzie znajduje się Biuro Obsługi Studenta? ,Where is the student service office? ,Wo befindet sich das Studentenbüro?,Где находится Бюро обслуживания студента?,Де знаходиться Бюро обслуги студента?,Öğrenci işleri ofisi nerede?
Gdzie znajduje się biuro Erasmus? ,Where is the Erasmus office located?,Wo befindet sich das Erasmus-Büro?,Где находится офис Эрасмус?,Де знаходиться офис Ерасмус?,Erasmus ofisi nerede?
Gdzie mogę zapłacić za akademik? ,Where can I pay for the dormitory?,Wo kann ich für das Studentenheim bezahlen?,Где я могу заплатить за общежитие?,Де я можу заплатити за гуртожиток?,Yurt ücretini nerede ödeyebilirim?
Instytut,Institute ,das Institut,Институт,Інститут,Enstitü
Karta egzaminacyjna,Student Grade Sheet,das Prüfungsformular,Экзаменационный лист,Екзаменаційний лист,Sınav kağıdı
Katedra,Department,der Lehrstuhl,Кафедра,Кафедра,Bölüm
Kierownik (jednostki administracji),Head/ manager/ co-ordinator,der Vorsteher / Leiter,Руководитель,Керівник,Baş / Başkan / Koordinatör
Kierunek studiów,Field of study / major,die Studienrichtung / Fachrichtung ,Направление обучения,Напрямок навчання,Çalışma alanı / anabilim dalı
Kolokwium ," Mid-term, end-term test",die Klausur / Klausurarbeit,Коллоквиум,Колоквіум,"Sınav (vize, final vb.)"
Koło naukowe,Student research group,studentische Forschungsgruppe,Студенческая научная группа,Студентська наукова група,Öğrenci araştırma grubu
Konspekt/sylabus zajęć,Course schedule/ syllabus,der Lehrplan,Расписание занятий,Розклад занятть,Ders programı
Ksero ,Photocopier / Photocopy machine/ Xerox machine,das Kopiergerät,Ксерокс,Ксерокс,Fotokopici
Kuchenka ,Stove / Gas cooker,der Herd,Плита,Плита,Ocak
Kuchnia ,Kitchen ,die Küche,Кухня,Кухня,Mutfak
Legitymacja studencka,Student card,der Studentenausweis,Студенческий билет,Студентський квиток,Öğrenci kartı
Numer indeksu / Number albumu,Student's Registration Number,die Studienbuch-Nummer,Студенческий регистрационный номер,Студ,İndeks numarası
Ocena ,Grade/ mark,die Note,Оценка,Оцінка,Not
Plan zajęć,Timetable,der Stundenplan,Расписание,Розклад,Çizelge
Podpis,Signature,die Unterschrift ,Подпись,Підпис,İmza
Praca licencjacka,BA/ BSc Thesis,die Bachelorarbeit,Бакалаврская работа,Бакалаврська робота,Lisans tezi
Praca magisterska,MA/ BSc Thesis,die  Masterarbeit / Magisterarbeit ,Магистарская работа,Магістерська робота,Yüksek Lisans tezi
Praca doktorska,Doctorial/ PhD Thesis/ Dissertation,die Doktorarbeit ,Докторская работа,Докторська робота,Doktora tezi 
Pracownia informatyczna,Computer Laboratory,das Computerlabor,Кабинет информатики,Кабінет інформатики,Bilgisayar Laboratuarı
Pralka ,Washing machine,die Waschmaschine,Стиральная машина,Пральна машина,Çamaşır makinesi
Program kierunku,Course curriculum,der Lehrplan der Studienrichtung ,Учебный план курса,Навчальний план курсу,Ders müfredatı
Przedłużenie sesji egzaminacyjnej,Examination period extension,Verlängerung des Prüfungszeitraums,Продление экзаменационной сессии,"Продовження екзаменаційної сесії",Sınav dönemi uzatması
Przedłużenie ważności,Validity extension,Verlängerung der Gültigkeit,Продление срока действия,Продовження терміну дії,Geçerliliği uzatma
Przedmiot do wyboru,Elective course/ subject,das Wahlfach,Предмет на выбор,Предмет за вибором,Seçmeli ders
Przedmiot obowiązkowy,Obligatory/ mandatory course/ subject,das Pflichtfach,Обязательный предмет,Обов'язковий предмет,Zorunlu ders
Przeniesienie,Transfer,die Versetzung,Перевод,Переведення,Nakil
Rada wydziału,Faculty council,der Fakultätsrat,Совет факультета,Рада факультету,Fakülte kurulu
Recepcja,Reception desk,die Rezeption,Рецепшн,Рецепція,Resepsiyon
Referat,Essay/ paper,das Referat / der Vortrag,Реферат,Реферат,"Makale, deneme (essay)"
Regulamin,Regulations,die Vorschriften / die Ordnung,Правила,Правила/вимоги,Kurallar
Rekrutacja,Enrolment (procedure) / Admissions,die Bewerbung,Зачисление (процедура) / Прием,"Зарахування (процедура) / Прийом",Okula kayıt (prosedürler geneli)
Rok akademicki,Academic year,das Studienjahr ,Учебный год,Навчальний рік,Akademik yıl
Różnica programowa,Curricular disparity,Lernprogrammunterschiede ,Несоответствие учебных программ,Невідповідність навчальних програм,Müfredat uyumsuzluğu
Sala,Classroom,der Hörsaal ,Аудитория,Аудиторія,Sınıf
Semestr,Term,das Semester,Семестр,Семестр,Sömestr/Yarıyıl
Sesja egzaminacyjna ,Examination period / Exam Sittings,die Prüfungszeit ,Экзаменационная сессия,Екзамінаційна сесія,Sınav dönemi
Skreślenie z listy studentów,Discontinuation,Die Exmatrikulation (die Streichung aus der Liste der Studierenden) ,Отчисление,Відрахування,Devamsızlık
Specjalizacja,Specialisation,die Spezialisierung,Специализация,Спеціалізація,Uzmanlaşma
Stołówka,Canteen,die Mensa,Столовая,Їдальня ,Kantin
Studia niestacjonarne,Part-time studies /  Extramural studies,das Fernstudium ,Заочное обучение,Заочне навчання,Yarı-zamanlı alanlar
Studia stacjonarne,Full-time studies,das Präsenzstudium / Direktstudium / Vollzeitstudium ,Дневное обучение,Денне навчання,Örgün alanlar
Specjalność,Specialty,das Fachgebiet / Fachbereich / Fachrichtung ,Специальность,Спеціальність,Uzmanlık
Szatnia,Cloakroom,die Garderobe,Раздевалка/гардероб,Роздягальня,Vestiyer
Świadectwo dojrzałości,Certificate of secondary education,das Abschlusszeugnis,Свидетельство об окончании школы,Свідоцтво про закінчення школи,Ortaöğretim (lise) diploması
Ukończyć przedmiot,To complete a course,das Fach abschließen,Сдать предмет,Здати предмет,Dersi geçmek
Urlop dziekański ,Leave of absence,das Urlaubssemester,Академотпуск,Академвідпустка,İzinli 
Wakacje,Holidays/ Vacations,die Ferien / Sommerferien ,Каникулы,Канікули,Tatiller
Warsztaty,Workshops,der Workshop,Практические занятия,Практичні заняття,Atölye
Warunek,Course retake,bedingte Eintragung,Пересдача,Перездача,Dersi yeniden alma
Wpis / zaliczenie przedmiotu,Course credit,eine Eintragung ins Studienbuch / das Testat,Баллы за курс,Кредити за курс,Ders kredisi
Wydział,Faculty,die Fakultät,Факультет,Факультет,Fakülte
Wykład,Lecture,die Vorlesung,Лекция,Лекція,Ders
Wykładowca,Lecturer,der Hochschullehrer / der Dozent,Преподаватель,Викладач,Öğretmen
Zajęcia,Classes,die Lehrveranstaltungen ,Занятия,Заняття,Derslik
Zajęcia odwołane,Class cancelled,die Lehrveranstaltungen abgesagt,Занятия отменены,Заняття скасовані,Ders iptal edildi.
Zajęcia przełożone,Class rescheduled,die Lehrveranstaltungen verlegt,Занятия перенесены,Заняття перенесені,Dersin zamanı değişti.
Zakład,Unit/ Section,das Institut,Учреждение,Установа,Enstitü
Zaliczenie,Assignment,die Klausur,Задание/кредит,Завдання/кредит,Görev/kredi
Zaliczenie pisemne,Written/ test (in-class) examination,die schriftliche Klausur,Письменный зачёт,Письмовий залік,Yazılı sınav
"Zaliczenie (ocena, podpis)",Credit,"das Testat bekommen (Note, Unterschrift)",Кредит(зачет),Кредит(залік),Kredi
Zaliczenie roku,Completion of the academic year,das Studienjahr abschließen,Зачисление итоговых экзаменов,Зарахування підсумкових іспитів,Akademik yılı tamamlama
Zaliczenie ustne,Oral examination,die mündliche Prüfung,Устный зачёт,Усний залік,Sözlü sınav
Załatwiać sprawy,To run errands,Dinge erledigen / Sachen erledigen,Решать дела,Вирішувати справи,Ayak işleri yapmak
Zaświadczenie,Certificate,die Bescheinigung / das Zertifikat,Справка,Довідка,Sertifika/belge
Zaświadczenie o byciu studentem,Certificate of student status,die Studienbescheinigung / Immatrikulationsbescheinigung ,Справка о статусе студента,Довідка про статус студента,Öğrenci belgesi
Zatwierdzić (decyzję itp.),To approve of (a decision etc.),bestätigen,Утвердить,Затвердити,onaylamak (kararı vs.)
Zgoda Dziekana/ Dyrektora/ Kierownika,Dean's/ Director's/ Head's consent,Zustimmung des Dekans,Согласие декана/ директора/ руководителя,Згода декана,Dekan/Direktör/Yönetici izni
